#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AU|I03H1|-68.583931|78.068504|640.0|Davis Base, Site H1, Antarctica|2018-09-06T00:00:00.0000|
AU|I03H2|-68.586571|78.072044|680.0|Davis Base, Site H2, Antarctica|2018-09-06T00:00:00.0000|
AU|I03H3|-68.588661|78.071152|664.0|Davis Base, Site H3, Antarctica|2018-09-06T00:00:00.0000|
AU|I03H4|-68.587509|78.062332|629.0|Davis Base, Site H4, Antarctica|2018-09-06T00:00:00.0000|
AU|I03H5|-68.580765|78.081757|740.0|Davis Base, Site H5, Antarctica|2018-09-06T00:00:00.0000|
AU|I03H6|-68.592712|78.072746|816.0|Davis Base, Site H6, Antarctica|2018-09-06T00:00:00.0000|
AU|I03H7|-68.585075|78.04937|847.0|Davis Base, Site H7, Antarctica|2018-09-06T00:00:00.0000|
AU|I04H1|-34.59761|116.356689|167.1|Narrogin Infrasound Array, Site H1, Australia|2006-02-01T00:00:00.0000|
AU|I04H2|-34.596169|116.367142|155.7|Narrogin Infrasound Array, Site H2, Australia|2006-02-01T00:00:00.0000|
AU|I04H3|-34.607571|116.351547|123.2|Narrogin Infrasound Array, Site H3, Australia|2006-02-01T00:00:00.0000|
AU|I04H4|-34.594002|116.344582|154.7|Narrogin Infrasound Array, Site H4, Australia|2006-02-01T00:00:00.0000|
AU|I04H5|-34.594711|116.341087|147.7|Narrogin Infrasound Array, Site H5, Australia|2006-02-01T00:00:00.0000|
AU|I04H6|-34.593121|116.341042|146.8|Narrogin Infrasound Array, Site H6, Australia|2006-02-01T00:00:00.0000|
AU|I04H7|-34.591122|116.343163|143.2|Narrogin Infrasound Array, Site H7, Australia|2006-02-01T00:00:00.0000|
AU|I04H8|-34.592918|116.34639|148.7|Narrogin Infrasound Array, Site H8, Australia|2006-02-01T00:00:00.0000|
AU|I05H1|-42.490798|147.68063|350.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I05H2|-42.487193|147.6743|310.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I05H3|-42.482285|147.67762|314.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I05H4|-42.480752|147.68978|316.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I05H5|-42.48847|147.69105|316.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I05H6|-42.496572|147.68299|308.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I05H7|-42.50046|147.68433|306.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I05H8|-42.499768|147.68092|304.0|HOBART INFRASONIC ARRAY, AUSTRALIA|2003-03-29T00:00:00.0000|
AU|I06H1|-12.14645|96.82032|16.8|Cocos Islands Infrasound Array, Site H1, Australia|2011-10-31T00:00:00.0000|
AU|I06H2|-12.14752|96.81855|17.6|Cocos Islands Infrasound Array, Site H2, Australia|2011-10-31T00:00:00.0000|
AU|I06H3|-12.14509|96.817741|20.8|Cocos Islands Infrasound Array, Site H3, Australia|2011-10-31T00:00:00.0000|
